agency_id,agency_name,agency_name_sort_key,parent_organization,url,purpose,description,history,main_phone_number,street,zip,xPos,yPos,Location
223829.0,Spruce Street Secure Crisis Residential Center,SPRUCE STREET SECURE CRISIS RESIDENTIAL CENTER,Pioneer Human Services,http://www.pioneerhumanservices.com,Spruce Street Secure Crisis Residential Center (SCRC)provides a safe and supportive environment that reunites children 12 to 17 with their families or primary caretakers by initiating advocacy and reconciliation efforts and connecting with community resources in order to support positive change.,"Located in the Capitol Hill Area of Seattle, the Spruce Street SCRC is a semi-secure facility for youth between the ages of 12 and 17 that are determined by law enforcement to be runaways or found in dangerous circumstances. Youth may reside up to five days during which time he/she receives the following:  culturally appropriate intake and assessment, case management and advocacy tailored the the youth's needs, life skills building, and therapeutic one-on-one and group services, multidisciplinary team meetings/family mediation, access to mental health and chemical dependency services.","Spruce Street SCRC opened its doors in 2000.  The Secure Crisis Residential Centers were created by the legislature in the form of the ""Becca Bill"", The At-Risk/Runaway YOuth Act, E2SSB 5439 passed in 1995.  This bill was named after a 13 year old runaway named Rebecca Hedman who became involved in prostitution and was killed by a 35 year old john.  The Becca Bill was passed in the hopes of preventing other young runaways from ending up like Becca Hedman.  The Bill authorizes law enforcement to take into custody runaway youth and youth found in dangerous circumstances. It created crisis residential centers to provide temporary shelter, case management and family reunification to these youth and their families.",,1102 E. Spruce Street,98122.0,-122.31779,47.6037,"(47.6037, -122.31779)"
224236.0,Center for Career Alternatives,CENTER FOR CAREER ALTERNATIVES,,http://www.ccawa.org,"The mission of Center for Career Alternatives (CCA) is to provide the highest quality education, employment, training, and career development services leading to individual self sufficiency and self worth for a culturally diverse population of disadvantaged youth and adults.","Center for Career Alternatives (CCA) provides a variety of employment and educational programs for youth and adults.  Youth programs include Education Center for high school drop-outs (16 to 20), Middle school re-entry program for expelled and suspended youth (6th to 8th grades), and Employment and Education program for disadvantaged 16-18 year old.  Adult programs include direct placement program, short-term skills training, and citizenship with ESL instruction.","CCA has been in existence since 1979 and has offices in Seattle, Everett, White Center, and Kent.  We serve over 1,600 clients per year.",,901 Rainier Avenue South,98144.0,-122.31064,47.59394,"(47.59394, -122.31064)"
2.6061417E7,Treeswing,TREESWING,,http://www.treeswing.org,Treeswing strives to improve children's health through increased activity and play,"Treeswing is dedicated to improving the health and wellness of our children. Treeswing works to create environments that support this health and wellness, to protect and cherish childhood, and to facilitate a lifetime of healthy habits and healthy families. Through education and collaboration we promote nutrition, movement and play to foster generations of empowered individuals and vibrant communities. At Treeswing we believe healthy change is more than altering behaviors or creating boundaries, it?s about understanding cultures and shaping new environments.  Our core values are centered on prevention, compassion, collaboration, excellence and integrity. In addition, we approach our goals with a focus on execution and measurement, transparency, accountability, advocacy, inclusivity, optimism and more than a little fun!","Based in Seattle, WA, Treeswing is a 501(c)3 non-profit organization that serves the children, families and communities of the Pacific Northwest. Treeswing got its official start in June 2005.  Our 501(c)3 status was received in March 2006.  Treeswing signed a contract with Seattle Public Schools in September of 2006, officially kicking-off our first project.",,"3161 Elliott Ave, Suite 308",98121.0,-122.35871,47.61833,"(47.61833, -122.35871)"
219610.0,Teen Feed,TEEN FEED,University Street Ministry,http://www.universitystreetministry.org,University Street Ministry has operated since 1986 as a response to the needs of homeless and displaced youth of Seattle's University District.  USM brings together the civic community and people of all faith traditions in committed service to street youth and their futures.  We provide meals and advocacy for the youth.,"Teen Feed offers nutritious dinners to homeless youth, Sunday through Thursday.  We are open to all youth who are 25 or younger, and ask only that they follow some very basic conduct expectations while in our program.  Our attendance fluctuates with the season, but we generally receive 45-50 guests each evening.  Teen Feed would not be possible without the commitment and compassion of our 250-plus volunteers.  We have 25 volunteer food teams, who each take responsibility for providing one meal a month.  They are the hands of our program - without their generosity, we wouldn't exist.  Advocates are the heart of our program - trained volunteers who are present to get to know our guests, and offer a supportive listening presence.  In addition to meals, we offer clothing donations, hygiene products, books, access to free health care, and outreach case management to assist youth in transitioning off the streets.","In 1989, the UW Medical Center noticed that the majority of street youth accessing their emergency room were severely malnourished.  The community responded, and Teen Feed was born.  In those early days, the University District street culture was at its peak, and we received up to 150 guests a night!  These days, the Ave is a different place, and we count on seeing 40-50 guests each evening.",,4740-B University Way NE,98105.0,,,
1.0284442282E10,YMCA Young Adult Services,YMCA YOUNG ADULT SERVICES,YMCA Of Greater Seattle,http://www.seattleymca.org/thecenter,"The YMCA is committed to building a community where all people, especially the young, are encouraged to develop their fullest potential in spirit, mind and body.  The Downtown Branch's Young Adult Services program provides young adults who have experienced foster care or homelessness with the resources and skills they need to move toward independence.","YMCA Young Adult Services includes a variety of programs serving young adults who have experienced foster care or homelessness.  These services focus on four core areas of housing, education, employment and life skills.","Founded in 1876, the YMCA is a leading youth and family non-profit organization, serving more than 190,000 people with an array of services, including child care, parent-child programs, teen development, camping, youth educational/employment programs, family resource centers, plus wellness for all ages.",,2100 24th Avenue S. Suite 250,98144.0,-122.30125,47.58408,"(47.58408, -122.30125)"
1.028500867E10,Reel Grrls,REEL GRRLS,,http://www.reelgrrls.org,"Reel Grrls empowers young women from diverse communities to realize their talent, power and influence through media production.  Due to the enormously influential role of the media in girls? lives, The Reel Grrls program operates from the belief that it is critical for young women to develop the skills necessary to evaluate the media they are exposed to and then to empower them to produce their own media.","Recognizing that girls were getting short-changed in technology education programs and that girls approach learning differently than boys, Reel Grrls created the first non-profit in the country providing year-round training for girls in media literacy and digital media production. Reel Grrls engages girls in technology literacy exactly at the age where they are prone to drop out. Providing an all-girl learning environment with adult women role-models as mentors and a project-based learning curriculum that focuses on storytelling and community engagement have been the keys to our success.    Reel Grrls intentionally involves girls who may not otherwise have access to this type of program due to financial barriers.  Some of the girls who participate in the program have struggled with homelessness, drugs, eating disorders, and low self-esteem and find the program to be a place where they can get support to stop criticizing themselves and instead look critically at the media they consume.","Since 2001 Reel Grrls has worked to bridge the ""digital divide"" by offering captivating, skill-based media training and accessible after-school programming to over 500 teenage girls in the Puget Sound region.  During our seven year history, Reel Grrls has developed an internationally acclaimed program that has been showcased as a ?model that works? in the field of Youth Media.  We have been invited to present our methodology at many national media conferences and The National Endowment for the Arts highlighted Reel Grrls in their report on successful after-school arts programs in 2003. Reel Grrls productions have received several awards and screened at prestigious film festivals around the country, including The Sundance Gen-Y Studio, San Diego Girls Film Festival, Chicago?s Women in the Directors Chair, Asian American Film Festival, Women?s Film Festival in Korea & Taiwan, Langston Hughes African American Film Festival, PBS broadcast, and others.",,1409 21st Avenue,98122.0,-122.30526,47.61306,"(47.61306, -122.30526)"
1.0316343701E10,University Heights Center For The Community Association,UNIVERSITY HEIGHTS CENTER FOR THE COMMUNITY ASSOCIATION,,http://www.uhcca.org,"The mission of UHCCA is to build a sense of neighborhood by:  1) Providing a safe, attractive, and accessible place for the community to gather, play, learn, create, work, volunteer and celebrate, and  2) Offering and supporting quality programs, events, and services responsive to the needs of the community.  Our vision is ?The creation of a multi-use urban center revitalizing the University District community and its unique character by becoming a reflection of the past, security for the present, and a vehicle to the future.?","University Heights Center for the Community Association (UHCCA) is a not-for profit 501C-3 organization now serving the U District and Greater Seattle area for almost 20 years. We are located in the heart of the University District on the corner of NE 50th St and University Way NE (the Ave).   For over a century, this building has served the community?s children as a public school, and now continues to serve over 130,000 people of all ages, backgrounds and abilities annually with over 150 groups utilizing classroom space for ongoing classes, programs and workshops, and more.  The Center is home to a variety of long-term tenants. These include the University District Farmer?s Market, The Northwest Choirs, Broadway Bound Children?s Theatre, a K-5 school - Academy for Precision Learning, and a German language immersion pre-school/kindergarten ? the Seattle Area German American School(SAGAS). The focus of these organizations range from arts & education, to community and personal growth, to sustainability and political action.   Daytime events include children's music classes, local organization meetings and yoga classes. Evening courses in dance, languages, community development, and martial arts are conducted every evening. UHCCA's annual program, U Heights Plaza Days Program operates at the same time as the spring to fall Farmer?s Market every Saturday, hosts the annual U District Community Cleanup and hosts a variety of ongoing classes, activities and workshops.  UHCCA is the ?town hall? for the University District providing meeting space for local businesses, open public meetings, and free rental space for other non-profits.","In 1988, University Heights was placed on a list of north end schools to be considered for closure by the Seattle School District. On April 20th, 1988, hundreds of parents, students, staff, and supporters protested plans to close the school by joining hands and forming a circle around the historic building, chanting ?Be cool, save our school.?   District officials cited the high costs of maintaining the 82 year old structure, while supporters cited the advantages of a multi-ethnic urban environment and the quality of academic programs. A lawsuit was filed, challenging the district?s decision to close the school and, in January 1989 King Co. Superior Court ruled the closure could proceed. University Heights Elementary closed it?s doors in early 1989.  Unwilling to let this community resource and historic landmark be lost, local residents, parents, and area businesses who had tried to save the school, organized and reopened the facility as the neighborhood organization - the University Heights Center for the Community Association (UHCCA), on May 1st, 1989.  This organization was formed by a group of citizens who believed that this building should continue to be used for growth, learning and the community. The University Heights Center maintains the belief that  ""Old Schools Still Teach"" and continues to focus on building neighborhood and providing opportunities for learning and growth in a historical setting.",(206) 527-4278,5031 University Way NE,98105.0,-122.31368,47.66568,"(47.66568, -122.31368)"
3358428.0,United Way Free Tax Campaign,UNITED WAY FREE TAX CAMPAIGN,United Way Of King County,http://www.unitedwayofkingcounty.org/taxcampaign,"The United Way Free Tax Campaign is working to reduce the high cost of being poor for low income people in our community and provide them with real opportunities to increase their disposable income, build assets and permanently move up and out of poverty",,,,720 Second Ave,98104.0,-122.33328,47.60366,"(47.60366, -122.33328)"
1.0287662818E10,FareStart,FARESTART,,http://www.farestart.org,"FareStart provides a community that transforms lives by empowering homeless and disadvantaged men, women, and families to achieve self-sufficiency through life skills, job training, and employment in the food service industry.","The FareStart adult program is an intensive 16-week training program combining hands-on food-service training with classroom instruction, individual case management and job placement services.  This program prepares homeless and disadvantaged men and women for jobs in the restaurant and hospitality industry and helps them to keep those jobs.","FareStart started in 1987 as Common Meals, a for-profit company  providing contracted meals to homeless shelters in the Seattle area.  In 1992 Common Meals became a non-profit and began the culinary training program with 10 students.  In 1998 Common Meals became FareStart.  Since becoming a non-profit 16 years ago, FareStart has provided opportunities for over 2,400 people to transform their lives, while also serving over 3.5 million meals to disadvantaged men, women, and children.",(206) 443-1233,700 Virginia Street,98101.0,-122.33747,47.61521,"(47.61521, -122.33747)"
2.6408572E7,Seattle Musical Theatre (SMT),SEATTLE MUSICAL THEATRE SMT,,http://www.seattlemusicaltheatre.org,The mission of Seattle Musical Theatre(SMT) is to produce the highest quality musical theater providing opportunities for local artists to develop and perfect their crafts while fostering an appreciation of the art form in our community.,"Our season consists of 4 shows which span the tried and true to the lesser known gems of the musical theatre genre.  Our audiences span old and young alike.  Our cast, crew, musicians and artisans are all local. SMT provides opportunities to those getting their feet wet in the theatrical crafts, while working along side seasoned professionals.  Our 2009-2010 season of shows are:  THE PRODUCERS, HONK (the Story of the Ugly Duckling), COMPANY, and 110 IN THE SHADE.","Organized in 1978 as Civic Light Opera, SMT has grown to become one of the Northwest?s premier musical theatre companies.  Four fully mounted productions are presented each season at the Magnuson Park Community Center Theatre, located in the Sand Point area of Seattle. The mission of Seattle Musical Theatre is to produce the highest quality musical theatre providing opportunities for local artists to develop and perfect their crafts while fostering an appreciation of the art form in our community.    SMT has presented over 100 musicals and operettas since its inception and is known for high production values and quality talent.  Several Northwest premieres have been presented including Into the Woods, Evita, Children of Eden, Ragtime My Way: A Tribute to Frank Sinatra, and most recently Jane Eyre.  Top area performers, musicians and technical staff are consistently attracted to SMT productions.  Wide accessibility is an important goal of SMT.  Ticket prices are kept reasonable with discounts available for seniors, students and groups.  Tickets are also provided to such groups as the Northwest Aids Alliance, Multiple Sclerosis Society and other social service organizations.",(206) 363-2809,7400 Sand Point Way NE #101N,98115.0,-122.2633,47.68212,"(47.68212, -122.2633)"
1.0264728554E10,Sound Child Care Solutions,SOUND CHILD CARE SOLUTIONS,,http://www.seattleconsortium.org,"Our mission is to prepare children for school and life by deeply integrating child-centered, high quality, anti-racist, early childhood education with excellent business practice.","Sound Child Care Solutions (SCCS) creates a structure for high quality, stable child care centers to join together, sharing administrative functions to streamline and strengthen business practice, while retaining their community and family identity.  Small community-based centers are generally unable to gain the advantage of economies of scale or respond effectively to market forces.  By uniting across centers and combining cutting edge technological tools to support early learning and small business, we free resources to meet the highest standards of quality. Better management equates to a greater investment in improved teacher practices, with an emphasis in early literacy. The result? More children will have the pre-literacy and other developmental skills that they need to be ready to succeed.","We have launched SCCS with a $25,000 Venture Grant from a national child care financing think tank which believes our approach is a necessary component of comprehensive efforts to strengthen the child care financing system. Our first center, Interlaken Preschool decided to change its name to Sound Child Care Solutions so that we did not have to apply for a new 501(c)3. We are seeking pilot implementation funding, negotiating joining agreements with centers and testing the basic shared services model with our two centers.",,115 27th Ave E,98112.0,-122.29762,47.61941,"(47.61941, -122.29762)"
1.0296588077E10,Seattle Children's PlayGarden,SEATTLE CHILDRENS PLAYGARDEN,,http://www.childrensplaygarden.org,Our Mission  The Seattle Children's PlayGarden seeks to improve the lives of children with physical or mental disabilities by providing them with full access to a safe indoor/outdoor recreation space and offering inclusive programs that encourage their potential.  Our Vision  Children of all ages and abilities will enjoy the outdoors in the company of their family and friends.,"Digging in the dirt, swinging in the sunshine, chasing butterflies. All kids deserve these simple pleasures. At the Seattle Children's PlayGarden, all kids can enjoy the outdoors?kids on two feet, kids with walkers, kids in wheelchairs, kids who communicate differently.  The Seattle Children's PlayGarden is a nonprofit organization providing children of all abilities full access to outdoor recreation space and offering inclusive programs that encourage every child's potential. The PlayGarden provides a well-designed, safe, and supportive environment to interact with nature, to learn, to explore, and to create. Here children will enhance their cognitive, motor, and social skills?and develop their sense of wonder and independence.  Until now, children with physical limitations, such as cerebral palsy, or developmental delays, such as autism, have been largely excluded from participation in local outdoor activity areas. Parents of children with special needs have had few options of enjoyable yet safe and supported outdoor learning experiences for their fragile children. The PlayGarden offers options for these families that will accommodate not only the children with special needs in the family, but the typically developing children as well.","The lives of families of children with special needs are a constant struggle. Activities outside the home are centered in classrooms, therapy cubicles, physicians' offices, and hospital waiting rooms. I never hear the word fun mentioned."" These observations by Seattle Children's PlayGarden Executive Director Liz Bullard prompted her to form the PlayGarden in 2002. Liz, a Seattle speech/language pathologist, had sought outdoor play spaces that were both accommodating and nurturing for children with special needs. Her research revealed a striking lack of safe and accessible outdoor learning environments in Seattle/King County. She approached Ken Bounds, former Seattle Parks and Recreation Department Superintendent, about this finding. Mr. Bounds agreed, and offered the Department's support for developing this program.  In 2003, the Seattle Parks Department offered the south end of Colman Playfield, at 24th Avenue South and South Grand Street, as the site for a public-private development. The PlayGarden eagerly accepted the offer of this site for the opportunity it presented to involve the residents of the surrounding economically and ethnically diverse neighborhoods and its easy access for families of children with disabilities from all over King County. A 10-year renewable, no-cost lease for the site was ratified by the Seattle City Council in September of 2006.  The PlayGarden became a 501(c)(3) nonprofit in July 2003, and is led by a volunteer board of directors along with Ms. Bullard. A volunteer advisory board and leadership council now assist the group. Committee members have expertise in children's health, children with special needs, gardening, and various business and social services professions.  In 2004, schematic designs and engineering studies were completed for the garden and associated facilities. Construction will be completed in 5 phases. Phase I is complete, and involved moving an existing basketball court on the site, and improving its design to accommodate wheelchair athletes. The court also includes adjustable hoops to encourage children to play.  Construction documents for renovation of an existing Shelter House and a new Garden House have been completed. The permitting process is underway and we are bidding the project, with a groundbreaking anticipated in fall 2008 and completion by September 2009. We are still accepting donations toward our capital campaign, and need to raise $90,000 from individuals. When these facilities are in place, programming will occur year-round.  In the meantime, the PlayGarden has held summer programs since 2006. All programs integrate children with special needs with typically developing children. Programs are often multi-age, to maximize the opportunity for siblings and friends to attend together. Throughout the year, the PlayGarden holds informal planting parties, play dates, and celebrations, such as our Earth Day event in April, Summer Barbecue in August, and Harvest Festival in October.",(206) 227-5458,3710 38th Avenue South,98114.0,-122.28472,47.57028,"(47.57028, -122.28472)"
219502.0,CASA Latina,CASA LATINA,,http://www.casa-latina.org,CASA (Centro de Ayuda Solidaria) Latina seeks to empower Latino immigrants through educational and economic opportunities.,"CASA Latina serves Latino immigrants primarily in the downtown corridor.  Its programs include:  a Day Workers' Center, an ESL program, computer education programs, employment workshops, a Wage Claim Project, Women's support groups and child education.  The organization focuses on empowering the entire Latino family in order to empower the community.","CASA Latina was founded in 1994 in response to the growing number of homeless Latino day laborers in the Belltown neighborhood.  For a number of years Latino day laborers have gathered on the streets of Belltown searching for work, but changes in the neighborhood caused this to become undesirable situation.  CASA Latina began to organize the workers and dispatch jobs, creating some order and safety for the workers.  Shortly after ESL classes were started at the Millionaire's Club and were moved in 1998 when the Day Workers' Center was opened in conjunction with the City of Seattle and the Belltown Business Association.  The ESL classes were then split into morning and evening classes (at Gethsemane Lutheran Church) to provide more learning opportunities.  A year later the first women's support group and child education program was opened.  This program was later expanded when two new groups opened (in Burien and the Central District), as a result of need growing need in South King County.  CASA Latina is continuing to look for ways to grow, primarily to respond to the growing need and number of Latinos in the Seattle area.",,317 17th Ave S,98144.0,-122.31057,47.59954,"(47.59954, -122.31057)"
1.0243291626E10,Umoja Fest African Heritage Festival & Parade,UMOJA FEST AFRICAN HERITAGE FESTIVAL  PARADE,Association For Africentric Development,http://www.umojafestnw.com,The mission of the Umoja Family Fest African Heritage Festival & Parade is to produce a world-class festival parade and related activities that not only entertains but also educates and empowers our community.,"As the premier outreach program of the African-American Heritage Museum & Cultural Center ?Museum Without Walls? program, Umoja Fest African Heritage Festival & Parade honors our rich heritage while recognizing our ability to make history. The festival and parade celebrates our collective ability to make ourselves, our families, community, city, state, nation and world a better place for our future generations.   The 2007 festivities will be held August 3-5, 2007 at Judkins Park in the historic central area of beautiful Seattle,WA.  Event highlights include the African Heritage Parade, Children?s Day & Activities, Celebrity Car Show, Outdoor Basketball Tournament, African Drum & Dance, Soccer Tournament, Jazz, Soul, Reggae, Spoken Word & Poetry, Hip-Hop Helps Peace & Unity Concert, Gospel Fest, Africa Cup Soccer Tournament, Bite of Africa, Education and Health Fairs, Marketplace and more.   Umoja"" is a Swahili word which means ""unity"", is the main theme of the festival. An artistic and cultural extravaganza that uniquely touches the spirit of the community, the Umoja Fest brings people of all ethnic backgrounds together for a celebration of culture, education, social festivities and networking.  Over the past years, we have been successful in meeting our goals, partnering with corporations including, Safeco, Starbucks, Boeing, the City of Seattle, Swedish Medical Center, Casey Family Programs, Muckleshoot Casino, Seattle Mariners, Bank of America and a host of community businesses and organizations.   In addition to producing a great community event, Umoja Fest offers a great opportunity to join us in empowering our youth.  Through strategic partnerships with Seattle Vocational Institute, the City of Seattle Summer Youth Employment Program and the Seattle chapter of Russell Simmons Hip-Hop Summit Action Network we host the Umoja Fest Summer Youth Academy.  Youth participate in a seven week academic enrichment and work experience helping with the planning, production and marketing of the festival.","The spirit of the Umoja Fest African Heritage Festival & Parade is one that spans more than five decades. A tradition since the 1940s, Seattle has hosted the annual African American community festival and parade as a celebration of the city?s ethnic diversity. Originally part of the International Festival, it would be known over the years as the East Madison Mardi Gras and the Pacific Northwest Black Community Festival. It not only has been credited as the inspiration behind SEAFAIR (which emerged during the early 1950?s) but also continues to be held during SEAFAIR?s annually activities.   The purpose of the festival and parade is to highlight the history and countless contributions of African-Americans locally, regionally, nationally and internationally. It is a celebration that gives people for all over Washington and the northwest an opportunity to experience the rich African heritage and culture of the region.  The festival and parade,which is coordinated by volunteers, is a three-day festival includes musical entertainment of all varieties,children?s group performances, dance, oration national recording artists, food, bargains, and plenty of fun.  The East Madison Mardi Gras       In the late 50s and 60s the East Madison-East Union Commercial Club proudly sponsored the East Madison Mardi Gras Festival and Parade. Before the Mardi Gras, the African American community participated in the International Festival.  The International Festival was held in what was once known as Chinatown. Chinatown is currently referred to as the impact of the International Festival. The international Festival was the first neighborhood event to agree to hold its festivities as an integral part of the Seattle SEAFAIR celebration. Four different cultures combined to stage the event: Filipino, Black (then Negro), Chinese, and Japanese. Each selected their own Queen and her court of four princesses to reign over her community and ride in the Parade on that community?s float. In addition to riding in the Parade through Chinatown, the Festival Queens and their courts rode in the Capital Hill Parades, Rainier Valley Parade, the University District Kiddies Parade and the SEAFAIR Grande Parade.  City officials estimated that nearly 200,000 people jammed their way into over crowded Chinatown Second Annual International Festival where the rich and out-of-other-side-of-towners and community natives elbowed one another for a glimpse at the Chinese dragon dancers, or the lovely Queens and their courts on their respective floats.  Long lines of people made their way through the streets from one food booth to another while others waited in lengthy lines of Chinatown restaurants. Asian dancers and style shows entertained for hours. As if that weren?t enough to put one into a frenzy, live bands such as Bob Marshalls jazzed up the night while torch songs rang out dwarfing the whistles of the incoming trains.  One man was rumored to have said, ?This festival business had a flavor of the bootlegging days when Chinatown pulsated with Ragtime music and the rich slipped away from the usual boredom to swing and enjoy.?  The International Festival?s second year didn?t surpass its first because of the enormous turnout. The city had to break it up. This is when the four communities decided to put on their own festivals. From the move toward individual festivals, the East Madison East Union Mardi Gras Festival was born.  With the end of Mardi Gras in the 60s, various business and community leaders, including Pacific Northwest Bell, Central Area Motivation Program and the Pacific Northwest Black Community Association would carry the torch. Since 1997, the Umoja Fest African Heritage Festival & Parade has preserved the festival spirit and will continue to grow.",,PO Box 22328,98122.0,,,
219340.0,Seattle Tilth Association,SEATTLE TILTH ASSOCIATION,,http://www.seattletilth.org,"Seattle Tilth inspires and educates people to garden organically, conserve natural resources, and support local food systems in order to create a healthy urban environment and community.","The Seattle Tilth Association is a non-profit organization dedicated to teaching and promoting organic gardening in the city. Our activities include: composting education, pesticide reduction programs, children's gardening programs, organic demonstration gardens, supporting local farmers, workshops and hands-on gardening clinics. Seattle Tilth also coordinates two large annual events:The Edible Plant Sale in May and the Organic Harvest Fair in September. Tilth is a member-based organization and members receive our bi-monthly newsletter which is full of updates on volunteer and educational opportunities, as well as articles on gardening and resource conservation.  Seattle Tilth needs volunteers as board members and to help with events and our gardens. We provide training for any volunteer slot, and getting involved with Tilth is a great way to meet new people and promote sustainable practices.","Tilth was founded in 1978 by activists seeking to demonstrate organic agriculture in an urban environment.  Volunteers cleared asphalt and began intensive soil-building projects in order to create an education based facility for growing food in the city.  Because of their vision, Tilth exists today and continues to actively teach organic gardening through workshops, clinics, and educational programs.  We provide hands-on learning at our 2 demonstration garden sites, in the Wallingford and Mt. Baker neighborhoods and in our Children's Garden in Wallingford.",,"4649 Sunnyside Ave. N,  Room 120",98103.0,-122.33118,47.6641,"(47.6641, -122.33118)"
